MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",91.415028,172.863864,89.635227,1.876899,2.504497,1.384549,5,5
"1302",78.956654,152.328747,76.243180,4.979980,1.330698,13.997037,7,8
"1305",97.085332,280.118277,97.071172,1.929388,0.188121,0.644261,3,5
"1306",70.748893,144.247435,69.871779,0.039709,18.599217,7.613939,10,13
"1309",65.656914,211.202647,62.252042,1.878385,11.380978,14.322015,3,9
"1310",71.914531,126.102248,68.792214,0.816461,3.893189,20.034274,12,11
"1311",39.544454,323.683265,39.206387,51.800274,4.208917,4.113516,2,8
"1312",63.496555,147.644082,52.012220,3.938265,12.932208,14.384775,7,8
"1313",70.868760,167.444898,68.538872,0.000000,5.530861,3.315068,4,4
"1318",61.377361,189.092744,57.675067,0.678001,22.173201,7.215731,8,11
"1319",56.895621,84.627163,56.299609,1.156738,9.706344,31.615570,4,7
"1321",81.374053,138.830927,79.511341,1.244846,4.860804,10.122724,9,11
"1322",11.673398,190.856372,10.248433,49.008339,10.767370,14.871748,2,6
"1324",89.061658,237.533605,87.809790,0.000000,1.954759,8.262934,5,5
"1327",31.676069,171.937959,28.126068,51.377336,5.551144,6.107217,5,8
"1329",70.202057,216.737959,69.660869,11.067800,2.447450,12.125317,7,8
"1330",83.315758,198.542154,79.672781,0.855725,9.333573,5.374259,4,5
"1331",84.256392,128.040249,82.124587,1.585439,8.089233,0.000000,4,5
"1332",82.248779,253.866667,81.575625,6.073461,8.844119,1.454925,9,7
"1333",94.505647,142.106122,92.562647,0.000000,3.502636,1.565436,7,7
"1334",82.018061,160.792092,79.025665,10.555137,3.713861,2.507627,8,11
"1335",64.728661,189.717936,62.037986,9.390130,7.981796,16.420014,11,9
"1336",80.830562,182.229116,79.300754,0.286481,6.277354,10.256302,5,6
"1337",70.127424,163.023596,66.292837,0.719600,7.229022,17.718207,11,12
"1339",73.137427,243.304626,72.071017,15.949839,4.352969,6.336171,14,18
"1340",72.625935,215.652019,71.427182,3.572004,13.765757,9.009092,5,12
"1342",74.047254,188.081633,69.056104,7.819684,10.360586,4.662281,5,10
"1344",88.580664,156.792477,86.536691,0.710950,3.310148,6.463680,9,10
"1345",94.614652,113.343336,91.571613,1.108673,1.050181,1.002863,5,6
"1346",83.775918,210.827269,83.752657,5.180126,3.293667,4.536454,9,14
"1347",77.579984,121.736372,76.326151,2.534273,10.720603,7.222743,15,13
"1350",82.576415,239.194764,80.565842,0.000000,13.573837,0.000000,3,3
"1353",2.200020,120.945113,0.000000,0.000000,96.828737,0.417545,8,10
"1354",85.091188,193.558651,84.499337,2.015841,5.134495,7.413851,7,8
"1355",62.927873,112.550771,62.901817,4.060249,2.197371,0.101824,4,5
"1357",89.080241,128.866105,85.337708,0.000000,5.377350,0.000000,4,4
"1358",42.615811,150.573304,37.556724,12.389625,11.949432,4.339752,10,4
"1359",79.360961,160.357891,76.011890,12.814067,2.740711,3.902169,8,8
"1360",70.946633,205.056729,68.600542,2.874625,4.983959,20.390062,8,12
"1361",84.882191,166.983785,81.809976,3.292265,3.012973,4.509483,5,5
"1362",75.311170,190.145306,71.905718,1.270081,21.505500,0.414038,8,7
"1364",82.233342,328.919586,82.224885,8.787683,2.710570,5.689162,15,16
"1366",61.082791,243.382770,59.040782,2.700408,15.316772,19.656301,6,5
"1367",4.831033,264.103764,0.000000,0.000000,68.646225,16.473354,7,11
"1368",50.242512,242.320249,49.485517,4.297474,6.966345,35.402079,10,16
"1369",94.630302,127.841769,91.976272,0.000000,0.934687,2.573254,7,7
"1370",88.788109,212.174972,88.316875,0.606410,3.929981,6.538025,8,11
"1371",3.744766,178.594806,0.000000,0.000000,78.906410,13.712694,6,4
"1372",70.948752,202.588374,70.035873,5.231279,14.612326,4.921234,4,8
"1373",59.001497,160.228414,49.140462,1.021575,8.160285,28.834519,11,9
"1376",90.925896,231.209796,89.797140,1.241806,3.743605,0.045017,3,5
"1377",90.874553,141.440612,89.686487,0.000000,7.672396,0.371181,3,4
"1378",82.967130,126.380408,74.579431,0.050427,1.893127,4.638792,4,6
"1380",84.827880,245.420408,83.912957,10.985744,1.874860,1.829648,6,7
"1382",89.927750,221.648980,88.040090,0.000000,9.526603,0.218564,4,6
"1383",41.604724,216.560839,40.674458,6.409951,0.888874,50.423981,8,10
"1384",80.900229,175.438367,79.285208,0.000000,3.932890,9.137478,4,4
"1385",93.959205,164.529402,92.463315,0.559153,4.883750,0.000000,6,6
"1386",79.248422,196.675918,78.312406,3.428776,1.042984,14.950006,9,8
