MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",7.973314,148.276825,7.875386,0.000000,67.233596,22.589359,5,2
"chord_mrx_09_000001",52.759570,200.129245,52.681304,0.000000,44.123252,0.000000,1,2
"chord_mrx_09_000002",0.092448,182.143129,0.000000,1.483939,62.942768,32.381774,7,2
"chord_mrx_09_000003",10.444878,153.469388,10.333203,0.599606,77.516173,5.539050,7,2
"chord_mrx_09_000004",8.944063,236.088889,8.865564,0.663897,53.012115,35.071155,20,2
"chord_mrx_09_000005",0.074933,194.841000,0.000000,0.000000,44.993610,45.997506,20,2
"chord_mrx_09_000006",15.722929,183.771429,15.642161,3.296185,67.900028,10.185716,8,2
"chord_mrx_09_000007",11.487391,112.875102,11.341121,0.000000,57.520025,26.052735,9,2
"chord_mrx_09_000008",5.464655,171.101752,5.359526,8.598975,44.409935,38.452794,20,2
"chord_mrx_09_000009",7.781360,164.022857,7.669877,1.241954,71.403993,19.027751,12,2
"chord_mrx_09_000010",0.651220,149.394286,0.528534,10.392921,50.206887,35.023514,8,2
"chord_mrx_09_000011",18.886615,201.753890,18.794747,5.223642,47.914576,24.848747,12,2
"chord_mrx_09_000012",6.820186,147.513469,6.712081,0.000000,89.834989,-0.000000,3,2
"chord_mrx_09_000013",11.122332,277.080816,11.064653,0.000000,69.788057,16.362361,12,2
"chord_mrx_09_000014",0.145589,263.332325,0.088185,0.023046,87.554428,7.025714,8,2
"chord_mrx_09_000015",3.495027,111.962523,3.334040,2.185540,57.625820,36.364041,12,2
"chord_mrx_09_000016",4.431571,107.637134,4.297181,8.372812,24.994008,57.785468,11,2
"chord_mrx_09_000017",17.153528,132.465487,17.017705,0.000000,74.943770,7.292089,9,2
"chord_mrx_09_000018",0.172080,101.459592,0.000000,0.000000,37.755692,49.842113,4,2
"chord_mrx_09_000019",0.101974,145.075374,0.000000,0.000000,67.976827,27.871080,6,2
"chord_mrx_09_000020",0.116436,129.509298,0.000000,19.166614,49.739017,26.130438,9,2
"chord_mrx_09_000021",1.015114,200.943000,0.926531,0.000000,93.534584,2.132943,7,2
"chord_mrx_09_000022",0.118135,157.152653,0.000000,0.000000,94.330756,2.179373,4,2
"chord_mrx_09_000023",5.847838,110.184490,5.694921,0.000000,69.673868,20.604316,4,2
"chord_mrx_09_000024",6.315994,154.652170,6.220217,0.320285,64.593409,25.638527,14,2
"chord_mrx_09_000025",0.696215,183.133000,0.608847,0.507828,90.868931,5.502012,9,2
"chord_mrx_09_000026",0.086809,170.912160,0.000000,0.000000,97.635068,0.000000,3,2
"chord_mrx_09_000027",14.742457,160.198986,14.639384,3.106961,46.362918,34.030583,9,2
"chord_mrx_09_000028",0.390834,337.995000,0.347047,4.989861,47.720528,43.304049,40,2
"chord_mrx_09_000029",22.802987,110.064000,22.673063,7.273968,31.997856,33.932966,12,2
"chord_mrx_09_000030",0.600943,121.376000,0.459234,0.000000,22.386304,0.000000,3,2
"chord_mrx_09_000031",4.293316,229.683084,0.000000,0.000000,0.000000,0.000000,0,0
"chord_mrx_09_000032",3.418594,19.022380,3.418594,3.811726,54.038969,37.019521,9,2
"chord_mrx_09_000033",7.650144,151.092245,7.542762,0.000000,32.121000,56.923315,12,2
"chord_mrx_09_000034",4.823258,158.066939,4.715114,0.000000,57.498888,33.792221,5,2
"chord_mrx_09_000035",3.025853,147.142000,2.918473,4.564774,34.576599,52.315654,15,2
"chord_mrx_09_000036",0.081394,217.887347,0.000000,5.831950,47.731645,45.334858,12,2
"chord_mrx_09_000037",0.153088,121.392510,0.000000,0.000000,44.482969,51.608031,6,2
"chord_mrx_09_000038",8.421959,195.343673,8.341755,9.516741,72.642477,8.348998,10,2
"chord_mrx_09_000039",0.351113,333.425000,0.307325,0.301807,39.411652,47.244118,13,2
"chord_mrx_09_000040",10.732918,228.600000,10.662052,1.720122,56.347135,29.411986,15,2
"chord_mrx_09_000041",9.851620,166.997912,9.754063,4.074015,60.279654,21.968521,9,2
"chord_mrx_09_000042",18.257024,117.330432,18.118500,7.159962,7.010771,63.899605,6,2
"chord_mrx_09_000043",4.116606,161.149388,4.021220,0.114800,23.125971,63.193455,9,2
"chord_mrx_09_000044",4.628290,152.581224,4.520004,0.000000,76.592579,16.275753,8,2
"chord_mrx_09_000045",0.108386,136.681362,0.000000,0.547594,22.908834,75.167276,12,2
"chord_mrx_09_000046",1.331934,175.827000,1.249467,3.841645,39.311425,54.265471,17,2
"chord_mrx_09_000047",6.423914,40.620408,6.002431,0.000000,83.419430,3.486959,4,2
"chord_mrx_09_000048",5.861295,148.511640,5.735983,4.945014,76.262511,9.780443,8,2
"chord_mrx_09_000049",0.098883,167.627755,0.000000,0.000000,96.049080,1.180921,5,2
"chord_mrx_09_000050",1.536337,194.089796,0.000000,0.000000,0.000000,0.000000,0,0
"chord_mrx_09_000051",0.094788,150.282449,0.000000,10.248934,48.433242,36.559495,9,2
"chord_mrx_09_000052",1.939698,72.751020,1.939698,0.000000,91.846260,5.986664,7,2
"chord_mrx_09_000053",0.449571,31.681117,0.000000,0.000000,69.785655,0.000000,1,2
"chord_mrx_09_000054",0.078985,206.007440,0.000000,0.000000,61.864661,33.486094,7,2
"chord_mrx_09_000055",8.831800,167.122720,8.743425,0.563351,74.660354,12.802620,6,2
"chord_mrx_09_000056",0.073938,192.496327,0.000000,2.329860,65.000184,29.961572,7,2
"chord_mrx_09_000057",0.080081,225.309026,0.000000,0.000000,70.410037,26.842149,9,2
"chord_mrx_09_000058",24.116956,117.860212,23.969220,1.335026,48.212432,20.270003,7,2
"chord_mrx_09_000059",0.070187,202.317000,0.000000,6.738766,44.200438,48.084111,13,2
"chord_mrx_09_000060",0.000000,156.708571,0.000000,4.437838,42.115986,53.060387,8,2
"chord_mrx_09_000061",4.325387,138.919232,4.222669,0.978189,43.588009,47.881791,14,2
"chord_mrx_09_000062",0.070946,253.399781,0.000000,3.918956,75.861347,19.175783,8,2
"chord_mrx_09_000063",23.663304,133.587302,0.000000,0.000000,0.000000,0.000000,0,0
"chord_mrx_09_000064",6.528580,214.713000,6.444747,0.455073,22.810584,66.206471,11,2
"chord_mrx_09_000065",1.246031,189.515466,1.157103,24.371215,21.389279,51.641897,12,2
"chord_mrx_09_000066",0.059481,290.848000,0.000000,0.151282,46.799359,44.399824,21,2
"chord_mrx_09_000067",10.453430,138.370612,10.333743,0.000000,69.139029,16.529273,6,2
"chord_mrx_09_000068",3.792158,192.737235,3.701806,0.000000,67.281870,27.375055,13,2
