MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",79.844972,164.310204,78.122496,0.337159,3.687702,15.775580,5,6
"chord_mrx_09_000001",95.055943,200.129245,92.896522,3.908034,0.000000,0.000000,1,2
"chord_mrx_09_000002",89.275517,182.143129,86.798247,0.860626,3.654918,5.419385,6,8
"chord_mrx_09_000003",76.800712,153.469388,76.493471,0.000000,15.456055,1.733275,4,4
"chord_mrx_09_000004",78.455027,236.088889,78.088932,4.012113,4.069425,11.393122,15,14
"chord_mrx_09_000005",78.158021,194.841000,75.964275,2.482532,1.349185,11.195123,13,18
"chord_mrx_09_000006",76.395528,183.771429,73.432423,2.273756,13.726003,7.120646,7,4
"chord_mrx_09_000007",90.694190,112.875102,85.696808,0.000000,7.924071,1.106721,8,8
"chord_mrx_09_000008",68.233862,172.329805,65.091521,10.012472,1.773734,19.897282,15,12
"chord_mrx_09_000009",88.507872,164.022857,88.481329,3.262031,3.578039,4.005089,12,10
"chord_mrx_09_000010",70.899278,149.394286,67.128840,11.784394,7.818540,8.121889,8,9
"chord_mrx_09_000011",83.538511,211.487347,80.667708,5.700850,2.749258,7.812014,8,8
"chord_mrx_09_000012",86.147246,147.513469,82.694316,3.359765,8.489240,1.632316,3,8
"chord_mrx_09_000013",83.830066,277.080816,81.334990,2.763309,5.451302,7.386337,9,16
"chord_mrx_09_000014",87.849643,263.332325,84.998048,0.000000,2.742282,5.101303,7,4
"chord_mrx_09_000015",64.434514,111.962523,63.988473,12.104091,12.629661,10.579248,12,9
"chord_mrx_09_000016",45.163007,180.192653,42.933949,10.590875,13.558337,30.198603,13,8
"chord_mrx_09_000017",0.544069,132.465487,0.000000,0.000000,96.753910,2.499654,9,8
"chord_mrx_09_000018",96.927834,101.459592,84.525639,0.000000,0.359378,0.000000,3,3
