MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",76.824887,164.310204,75.290838,3.678175,4.474096,14.434422,5,6
"chord_mrx_09_000001",98.429458,200.129245,96.177597,0.000000,0.000000,0.626959,1,2
"chord_mrx_09_000002",88.846973,182.143129,86.058516,2.252951,4.379193,4.087403,6,10
"chord_mrx_09_000003",89.353132,153.469388,86.376004,0.000000,6.308569,0.895944,4,5
"chord_mrx_09_000004",79.745631,236.088889,79.567170,11.358758,3.706518,2.980285,15,16
"chord_mrx_09_000005",83.235561,194.841000,78.145257,2.734024,0.237630,9.856242,13,17
"chord_mrx_09_000006",77.078285,183.771429,74.634503,2.126630,12.340741,7.911083,7,5
"chord_mrx_09_000007",85.659199,112.875102,81.750204,1.511588,7.719341,3.908101,8,7
"chord_mrx_09_000008",69.732811,172.329805,67.024272,12.558999,1.546587,15.692984,15,11
"chord_mrx_09_000009",85.900078,164.022857,85.678855,6.389602,3.157720,4.117400,12,11
"chord_mrx_09_000010",81.779339,149.394286,78.299094,8.441431,4.909413,4.501918,8,9
"chord_mrx_09_000011",79.749400,211.487347,77.419010,1.700980,3.908714,13.873291,8,10
"chord_mrx_09_000012",84.559986,147.513469,81.156623,0.000000,10.500689,-0.000000,3,5
"chord_mrx_09_000013",75.221039,277.080816,72.616759,3.846029,6.800569,6.434104,9,13
"chord_mrx_09_000014",70.532917,263.332325,66.085377,5.022167,1.950909,3.954743,7,6
"chord_mrx_09_000015",71.082989,111.962523,70.687995,11.917832,5.937962,10.965652,12,13
"chord_mrx_09_000016",66.844327,180.192653,64.583942,23.924215,0.625637,8.134316,13,9
"chord_mrx_09_000017",0.295109,132.465487,0.000000,0.000000,92.669559,6.584005,9,8
"chord_mrx_09_000018",89.144493,101.459592,77.928607,7.786351,1.882846,0.000000,3,4
"chord_mrx_09_000019",82.824746,145.075374,80.359173,1.911749,12.584710,0.992275,6,7
"chord_mrx_09_000020",78.035840,129.509298,74.302675,2.474225,1.570750,16.688419,6,8
"chord_mrx_09_000021",84.050203,200.943000,83.351000,3.508955,8.959257,0.774847,6,8
"chord_mrx_09_000022",77.186011,157.152653,74.753565,5.198333,15.059989,1.498241,4,5
"chord_mrx_09_000023",98.286080,110.184490,94.259185,0.000000,0.862691,0.812679,4,5
"chord_mrx_09_000024",95.775851,154.955465,92.901955,1.631550,0.386700,1.847021,10,10
"chord_mrx_09_000025",85.050209,183.133000,82.621374,1.158175,6.377878,4.990362,6,13
"chord_mrx_09_000026",95.441594,174.158367,94.767859,0.000000,2.911291,-0.000000,3,3
"chord_mrx_09_000027",78.810955,160.198986,77.124850,11.907969,3.569892,5.537134,8,5
"chord_mrx_09_000028",74.031480,347.205000,72.377990,5.530162,4.291125,12.512493,31,25
"chord_mrx_09_000029",83.468709,110.064000,80.758468,7.243967,2.191452,5.100669,10,11
"chord_mrx_09_000030",88.286811,121.376000,18.399848,0.000000,2.520268,0.000000,3,3
"chord_mrx_09_000031",22.007003,229.683084,20.189281,2.458248,69.185939,-0.000000,4,3
"chord_mrx_09_000032",69.561180,20.206598,67.950275,8.733370,16.838594,4.720908,7,7
"chord_mrx_09_000033",93.044684,151.092245,90.399118,0.566931,2.766415,2.854612,12,15
"chord_mrx_09_000034",92.389099,158.066939,90.102804,0.000000,2.916760,2.972067,5,6
"chord_mrx_09_000035",84.749972,169.921000,82.987388,6.061052,1.460679,4.620382,13,17
"chord_mrx_09_000036",75.990828,217.887347,75.474369,9.422971,1.120546,12.868154,9,8
"chord_mrx_09_000037",87.258559,121.392510,84.139061,2.955727,3.194082,5.802130,6,6
"chord_mrx_09_000038",91.869330,195.343673,91.514226,2.043616,4.967511,0.324618,9,12
"chord_mrx_09_000039",67.725305,342.547000,55.937141,4.961363,5.871311,20.753065,10,12
"chord_mrx_09_000040",79.762905,228.600000,79.014873,10.893701,3.243220,4.989501,12,11
"chord_mrx_09_000041",81.521986,166.997912,80.008290,4.984767,4.721878,6.326543,8,10
"chord_mrx_09_000042",85.559276,127.686531,82.442673,1.003121,0.444131,12.586837,4,4
"chord_mrx_09_000043",65.777995,161.149388,56.233441,3.724203,5.544899,0.298933,7,7
"chord_mrx_09_000044",84.421253,152.581224,82.106670,7.833619,3.828358,1.040994,7,7
"chord_mrx_09_000045",62.858219,136.681362,61.794253,31.549951,0.605900,4.656846,9,12
"chord_mrx_09_000046",80.676460,175.827000,79.854630,7.240640,2.437055,9.117485,15,18
"chord_mrx_09_000047",87.801388,40.620408,80.710209,1.635237,3.554290,1.851722,4,3
"chord_mrx_09_000048",91.215790,148.511640,87.939741,0.677312,6.624718,1.236670,7,6
"chord_mrx_09_000049",74.397319,167.627755,71.821283,6.854552,14.739746,3.480581,5,5
"chord_mrx_09_000050",11.011592,194.089796,10.805029,3.287227,37.083076,38.885583,10,12
"chord_mrx_09_000051",76.958337,150.282449,74.108737,5.507052,12.304244,3.321638,6,8
"chord_mrx_09_000052",51.684996,72.751020,51.684996,27.263460,10.858795,9.483453,7,8
"chord_mrx_09_000053",14.697806,31.681117,0.000000,0.000000,0.000000,69.785655,1,1
"chord_mrx_09_000054",62.695853,206.007440,59.442591,15.389079,4.944319,12.920128,6,6
"chord_mrx_09_000055",86.180325,167.122720,83.613806,9.026158,3.521403,0.590159,4,6
"chord_mrx_09_000056",86.762185,192.496327,84.854966,7.499968,2.334275,2.602406,6,8
"chord_mrx_09_000057",91.605985,228.571429,90.163797,0.000000,2.587939,4.539669,7,7
"chord_mrx_09_000058",89.432337,117.860212,85.645459,1.658745,1.953694,4.492384,4,6
"chord_mrx_09_000059",70.696481,202.317000,70.109778,15.399596,2.301339,9.651685,11,14
"chord_mrx_09_000060",90.620903,156.708571,90.378415,0.513692,0.522468,8.309147,8,11
"chord_mrx_09_000061",89.746276,140.576508,86.711110,1.287865,2.866870,5.770819,10,9
"chord_mrx_09_000062",79.167551,254.549169,78.459326,8.505902,2.793890,9.126649,7,7
"chord_mrx_09_000063",72.229262,136.048617,49.827326,8.516385,9.285132,4.166340,13,10
"chord_mrx_09_000064",75.868397,215.800000,74.299815,6.495366,0.889713,12.220575,9,13
"chord_mrx_09_000065",50.386186,189.515466,50.180398,6.364824,5.917798,36.096473,9,5
"chord_mrx_09_000066",74.176954,295.093000,73.332136,3.553795,4.820853,9.768107,13,11
"chord_mrx_09_000067",88.480971,138.370612,84.806476,1.341652,9.525840,0.207971,6,6
"chord_mrx_09_000068",82.538136,197.741135,81.747022,3.248945,6.513899,6.886460,10,12
"chord_mrx_09_000069",95.294780,116.424853,92.535183,0.000000,3.117505,1.532870,10,12
"chord_mrx_09_000070",91.555196,139.706676,90.821134,3.286462,3.702777,0.928675,10,11
"chord_mrx_09_000071",88.754819,164.101224,86.128476,2.767162,7.230474,1.231479,6,5
"chord_mrx_09_000072",91.508644,151.914612,87.124054,1.161651,7.180197,0.000000,5,4
"chord_mrx_09_000073",61.940352,304.150793,61.465232,12.938099,6.646374,18.350521,2,6
"chord_mrx_09_000074",83.999564,148.741224,83.457763,4.294516,2.931884,8.473186,11,12
"chord_mrx_09_000075",88.340564,147.670204,85.396601,3.526050,5.002885,2.629212,7,6
"chord_mrx_09_000076",81.447714,159.674920,80.582632,13.542407,2.070380,2.719943,16,12
"chord_mrx_09_000077",94.555001,137.607256,91.096696,0.722849,1.852593,2.164081,9,14
"chord_mrx_09_000078",90.687722,147.983673,88.029275,3.813752,2.403837,2.620957,7,10
"chord_mrx_09_000079",71.833545,140.088890,71.833545,4.475074,3.964597,19.321104,11,11
"chord_mrx_09_000080",77.533331,167.862000,76.468170,6.161013,1.980794,13.069069,12,14
"chord_mrx_09_000081",87.871226,175.804082,84.299590,2.541334,5.935821,3.395599,5,5
"chord_mrx_09_000082",88.592572,157.648980,85.395452,1.722181,7.639772,1.898524,9,10
"chord_mrx_09_000083",90.591117,155.173152,90.225495,2.126459,5.728871,1.099307,9,10
"chord_mrx_09_000084",88.977504,171.101456,85.189328,4.391389,3.300122,0.058008,5,7
"chord_mrx_09_000085",90.523781,163.317551,82.495260,1.526453,6.468752,0.528534,7,7
"chord_mrx_09_000086",75.763465,225.821231,67.994566,11.037522,3.075998,4.563762,13,14
"chord_mrx_09_000087",91.274326,257.642000,90.325723,0.468091,2.295045,0.732024,5,8
"chord_mrx_09_000088",79.557355,145.008617,76.783206,3.110190,2.571711,14.177968,13,15
"chord_mrx_09_000089",78.996889,212.140000,69.676157,5.005185,3.429811,10.472330,17,19
"chord_mrx_09_000090",94.715606,123.367620,91.585906,0.433971,1.393740,2.574596,7,7
"chord_mrx_09_000091",82.328901,158.850612,79.283453,0.970759,14.363341,1.500544,9,10
"chord_mrx_09_000092",80.294669,186.107000,78.184593,13.282681,4.105165,1.233699,12,13
"chord_mrx_09_000093",85.222844,119.353469,81.379697,0.000000,8.991815,5.222693,13,12
"chord_mrx_09_000094",60.895187,167.444898,60.154978,19.818102,7.985762,10.929580,6,6
"chord_mrx_09_000095",59.036190,158.870455,58.407140,8.251774,5.771595,26.723824,12,6
"chord_mrx_09_000096",88.249983,145.614919,85.564139,2.380101,2.940462,5.645415,10,10
"chord_mrx_09_000097",76.223559,114.451157,72.590870,4.085739,5.296304,14.243393,7,10
"chord_mrx_09_000098",85.032012,124.551837,80.893266,3.480829,4.684072,6.512483,8,6
"chord_mrx_09_000099",80.507144,160.417959,77.965213,2.379704,9.392949,4.462934,5,6
"chord_mrx_09_000100",81.354375,119.145091,77.458403,2.150462,1.969943,13.962140,8,9
"chord_mrx_09_000101",88.479845,92.708571,88.479845,5.468646,3.725223,1.972313,9,9
"chord_mrx_09_000102",88.397630,118.987755,84.385450,2.130602,8.035824,0.279779,5,8
"chord_mrx_09_000103",71.226983,215.066122,70.753327,4.899851,12.320939,11.170053,12,10
"chord_mrx_09_000104",93.493194,149.741757,84.339147,2.457806,3.025990,0.674271,6,5
"chord_mrx_09_000105",91.632810,129.776327,88.964043,0.796207,6.153573,0.390450,6,7
"chord_mrx_09_000106",91.150409,184.131714,90.322104,2.442142,2.561761,3.431709,7,8
"chord_mrx_09_000107",57.286598,153.561421,56.769203,23.251021,2.194884,16.666471,8,11
"chord_mrx_09_000108",82.178386,129.270000,80.864857,3.142260,2.553570,6.405198,8,9
"chord_mrx_09_000109",93.608459,146.494694,90.987725,0.048914,3.426201,0.631422,4,5
"chord_mrx_09_000110",71.141300,177.266939,70.314928,1.981413,26.581312,0.000000,3,2
"chord_mrx_09_000111",67.619090,125.342112,64.267773,23.870682,1.002748,6.997266,5,10
"chord_mrx_09_000112",94.327416,118.267344,92.550675,0.000000,2.852404,0.755056,6,9
"chord_mrx_09_000113",90.075519,190.101768,88.018591,0.706029,4.409610,3.787189,6,11
"chord_mrx_09_000114",65.585211,159.208797,59.070196,2.281978,11.301834,4.691939,7,5
"chord_mrx_09_000115",82.194476,315.765042,61.449253,6.651393,1.514037,8.037415,15,14
